Year,Month,US_Gateway_AirportCode,Foreign_Gateway_AirportCode,carriergroup,Total
2015,10,ACY,BDA,0,6
2015,10,ACY,YLS,0,6
2015,8,NZC,SNN,1,123
2015,10,AEX,SAL,1,267
2015,10,NZC,NBW,1,289
2015,9,NZC,SNN,1,233
2015,10,EWR,PUJ,0,1623
2015,10,EWR,YOW,1,38
2015,10,EWR,YOW,1,45
2015,10,EWR,YUL,1,47
2015,10,EWR,YUL,0,20
2015,10,FLL,CCS,1,81
2015,10,FLL,CCS,1,626
2015,10,FLL,CCS,1,6086
2015,10,FLL,HAV,1,797
2015,10,FLL,LHR,0,174
2015,10,FLL,NBW,1,85
2015,10,FRG,CIA,0,2
2015,10,FRG,VCE,0,2
2015,10,FRG,YUL,1,16
2015,10,FRG,YYZ,0,4
2015,10,FSD,YVR,0,4
2015,10,GCN,ZRH,0,7
2015,10,GEG,YVR,1,2
2015,10,GTF,GVA,0,2
2015,10,HOU,YYZ,0,3
2015,10,HPN,FAB,0,7
2015,10,HPN,GUA,1,182
2015,10,HPN,NHT,0,3
2015,10,HPN,YTZ,1,3
2015,10,HPN,YUL,1,47
2015,10,HPN,YYZ,1,4
2015,10,HPN,YYZ,0,2
2015,10,IAD,FRA,0,1
2015,10,IAD,LIN,1,10
2015,10,IAD,OTP,1,931
2015,10,IAD,SNN,0,14
2015,10,IAD,YEG,1,47
2015,10,IAD,YUL,1,45
2015,10,IAD,YUL,0,1
2015,10,IAD,YYC,1,48
2015,10,IAD,YYZ,0,4
2015,10,IAH,GUA,1,385
2015,10,IAH,LAD,1,2075
2015,10,ILM,NAS,0,7
2015,10,IND,YYZ,1,82
2015,10,JAX,LHR,0,394
2015,10,JFK,ARN,0,237
2015,10,JFK,GEO,1,5461
2015,10,JFK,HAV,1,807
2015,10,JFK,YQB,0,496
2015,10,KEH,YYJ,1,1
2015,10,KEH,ZNA,1,5
2015,10,LAS,NAS,1,59
2015,10,LAX,CUN,1,165
2015,10,LAX,CTS,0,9
2015,10,LAX,HEL,0,3
2015,10,LAX,KEF,0,2
2015,10,LAX,KEF,0,25
2015,10,LAX,LBG,0,7
2015,10,LAX,LTN,0,3
2015,10,LAX,LTN,0,4
2015,10,LAX,MAD,0,4
2015,10,LAX,PVG,1,106
2015,10,LAX,RKV,0,7
2015,10,LAX,SZX,1,102
2015,10,LAX,TLC,1,10
2015,10,LAX,YEG,1,47
2015,10,LAX,YEG,1,4
2015,10,LAX,YVR,1,98
2015,10,LAX,YVR,0,5
2015,10,LAX,YWG,1,46
2015,10,LAX,YYZ,1,44
2015,10,LAX,MWX,0,4
2015,10,LCK,LHR,0,517
2015,10,LEX,BGI,0,6
2015,10,LEX,YYZ,0,7
2015,10,LGA,YOW,0,50
2015,10,LGA,YWG,0,46
2015,10,LGA,YYC,0,49
2015,10,LKE,CXH,1,8
2015,10,LKE,YYJ,1,4
2015,10,LKE,ZNA,1,4
2015,10,MCI,LHR,0,195
2015,10,MCI,YYZ,1,267
2015,10,MCI,YYZ,1,38
2015,10,MCI,YYZ,1,204
2015,10,MCO,ANU,1,22
2015,10,MCO,GIG,1,281
2015,10,MCO,HAV,1,524
2015,10,MCO,HOG,1,99
2015,10,MCO,LHR,0,653
2015,10,MCO,PRG,0,8
2015,10,MDW,YWG,1,46
2015,10,MIA,AUA,1,775
2015,10,MIA,BUS,0,3
2015,10,MIA,CCS,1,179
2015,10,MIA,CCS,1,116
2015,10,MIA,CFG,1,450
2015,10,MIA,CFG,1,324
2015,10,MIA,CFG,1,450
2015,10,MIA,CMW,1,993
2015,10,MIA,CMW,1,167
2015,10,MIA,CMW,1,1767
2015,10,MIA,CMW,1,167
2015,10,MIA,CMW,1,1043
2015,10,MIA,CUR,1,95
2015,10,MIA,FPO,1,680
2015,10,MIA,FPO,0,7
2015,10,MIA,GGT,1,1
2015,10,MIA,GUA,1,30
2015,10,MIA,HAV,1,9579
2015,10,MIA,HAV,1,1058
2015,10,MIA,HAV,1,14630
2015,10,MIA,HAV,1,750
2015,10,MIA,HAV,1,7821
2015,10,MIA,HAV,1,1058
2015,10,MIA,HAV,1,12256
2015,10,MIA,HOG,1,1802
2015,10,MIA,HOG,1,148
2015,10,MIA,HOG,1,1042
2015,10,MIA,HOG,1,308
2015,10,MIA,HOG,1,148
2015,10,MIA,LBG,0,1
2015,10,MIA,LTN,0,4
2015,10,MIA,NAS,0,8
2015,10,MIA,NCE,0,7
2015,10,MIA,PAP,1,93
2015,10,MIA,PLS,0,7
2015,10,MIA,SCU,1,218
2015,10,MIA,SCU,1,560
2015,10,MIA,SCU,1,140
2015,10,MIA,SCU,1,218
2015,10,MIA,SDQ,1,15
2015,10,MIA,SNU,1,2777
2015,10,MIA,SNU,1,628
2015,10,MIA,SNU,1,1265
2015,10,MIA,SNU,1,608
2015,10,MIA,SNU,1,628
2015,10,MIA,SNU,1,1805
2015,10,MIA,YUL,1,44
2015,10,MIA,YYZ,0,14
2015,10,MKC,YYZ,0,368
2015,10,MKE,YYZ,1,36
2015,10,MMU,PLS,0,5
2015,10,MOT,YYC,0,5
2015,10,MSP,YEG,0,92
2015,10,MSP,YOW,1,43
2015,10,MSP,YWG,1,134
2015,10,MSP,YWG,1,49
2015,10,MSP,YYZ,0,19
2015,10,MSY,CUN,1,317
2015,10,MSY,CUN,1,155
2015,10,VQQ,NBW,1,289
2015,10,OAK,YVR,0,10
2015,10,OAK,YYR,0,3
2015,10,OPF,LBG,0,3
2015,10,ORD,CUN,1,6766
2015,10,ORD,LTN,0,4
2015,10,ORD,NCE,0,2
2015,10,ORD,PVR,1,1150
2015,10,ORD,YWG,1,91
2015,10,ORD,YYZ,0,6
2015,10,ORF,FAB,0,3
2015,10,OTH,YVR,0,16
2015,10,PBI,HAM,0,4
2015,10,PDK,FAB,0,2
2015,10,PDX,YEG,0,2
2015,10,PDX,YVR,0,43
2015,10,PDX,YVR,0,8
2015,10,PHL,FPO,0,1550
2015,10,PHX,YVR,0,47
2015,10,PHX,YYZ,1,605
2015,10,PIE,YYZ,0,61
2015,10,PIT,FPO,0,1225
2015,10,PIT,YOW,0,99
2015,10,PIT,YUL,0,56
2015,10,PIT,YYZ,0,41
2015,10,PIT,YYZ,1,55
2015,10,PSP,YCD,0,4
2015,10,PSP,YVR,0,16
2015,10,PTK,YYZ,0,5
2015,10,PWK,NCE,0,1
2015,10,PWK,NCE,0,2
2015,10,PWK,NHT,0,3
2015,10,SAN,YVR,0,8
2015,10,SAT,GUA,1,105
2015,10,SAT,SAP,1,105
2015,10,SAV,GVA,0,18
2015,10,SBA,YYJ,0,3
2015,10,SCF,YYZ,0,11
2015,10,SEA,HLP,1,11
2015,10,SEA,MSJ,1,469
2015,10,SEA,OKO,1,455
2015,10,SFB,BHX,0,2535
2015,10,SFB,EMA,0,2030
2015,10,SFB,GLA,0,1496
2015,10,SFB,LGW,0,7037
2015,10,SFB,MAN,0,6882
2015,10,SFB,NCL,0,2307
2015,10,SFB,YMX,0,68
2015,10,SFO,LBG,0,10
2015,10,SFO,LTN,0,4
2015,10,SGR,DUB,0,26
2015,10,SJC,BLQ,0,3
2015,10,SJC,BRU,0,2
2015,10,SJC,DUB,1,11
2015,10,SJC,MAD,0,2
2015,10,SJC,YVR,1,47
2015,10,SJC,ZRH,0,4
2015,10,SJU,PUJ,1,144
2015,10,SJU,PUJ,1,144
2015,10,SLC,YYZ,0,6
2015,10,SNA,YYC,0,7
2015,10,SRQ,YYZ,0,14
2015,10,STL,PUJ,1,1328
2015,10,STL,YUL,1,50
2015,10,STL,YYC,1,49
2015,10,TEB,AMS,0,2
2015,10,TEB,AMS,0,7
2015,10,TEB,ATH,0,3
2015,10,TEB,DKR,0,2
2015,10,TEB,GSE,0,2
2015,10,TEB,GVA,0,3
2015,10,TEB,HAM,0,1
2015,10,TEB,HEL,0,1
2015,10,TEB,KRK,0,3
2015,10,TEB,LBG,0,4
2015,10,TEB,LBG,0,3
2015,10,TEB,LCY,0,1
2015,10,TEB,LGW,0,9
2015,10,TEB,LIM,0,3
2015,10,TEB,LIS,0,3
2015,10,TEB,LTN,0,4
2015,10,TEB,LTN,0,2
2015,10,TEB,LTN,0,2
2015,10,TEB,LTN,0,2
2015,10,TEB,LYX,0,3
2015,10,TEB,LYX,0,3
2015,10,TEB,MAD,0,6
2015,10,TEB,MLA,0,5
2015,10,TEB,MXP,0,7
2015,10,TEB,NHT,0,2
2015,10,TEB,PLS,0,5
2015,10,TEB,TLC,1,8
2015,10,TEB,VKO,0,6
2015,10,TEB,YUL,0,9
2015,10,TEB,YYZ,0,11
2015,10,TEB,ZRH,0,2
2015,10,TEB,ZRH,0,2
2015,10,TPA,HAV,1,1244
2015,10,TPA,HAV,1,142
2015,10,TPA,HAV,1,1715
2015,10,TPA,SNU,1,891
2015,10,UGN,NCE,0,1
2015,10,VNY,YVR,0,2
2015,10,ZZZ,YYJ,1,3
2015,10,ZZZ,ZNA,1,5
2015,11,AEX,SAL,1,128
2015,11,AEX,SAP,1,122
2015,11,ANC,NRT,0,4
2015,11,APA,PVR,1,8
2015,11,AUS,MAD,0,3
2015,11,AUS,QRO,0,4
2015,11,AVP,YYZ,0,6
2015,11,AZA,GUA,1,513
2015,11,AZA,MEX,1,104
2015,11,AZA,SAL,1,30
2015,11,AZA,SAP,1,319
2015,11,BCT,YYZ,0,2
2015,11,BDL,NAS,1,87
2015,11,BDL,NAS,0,20
2015,11,BED,YEG,1,49
2015,11,BED,YYZ,1,51
2015,11,BED,YYZ,0,7
2015,11,BFI,YCD,1,9
2015,11,BFI,YVR,0,2
2015,11,BFI,YVR,1,11
2015,11,BFI,YVR,0,71
2015,11,BFI,YYC,0,6
2015,11,BFI,YYJ,1,2
2015,11,BFI,YYJ,0,2
2015,11,BFI,YYZ,0,9
2015,11,BGR,BOH,0,2
2015,11,BGR,FAB,0,2
2015,11,BGR,FKB,0,2
2015,11,BGR,SNN,0,5
2015,11,IFP,YEG,1,609
2015,11,IFP,YWG,1,232
2015,11,IFP,YYC,1,457
2015,11,BNA,YOW,0,51
2015,11,BNA,YYZ,0,40
2015,11,BOI,YYC,0,5
2015,11,BOS,BDA,0,3
2015,11,BOS,BFS,0,6
2015,11,BOS,KEF,0,6
2015,11,BOS,MAD,0,5
2015,11,BOS,NCE,0,3
2015,11,BOS,SNN,0,7
2015,11,BOS,YUL,0,44
2015,11,BOS,YUL,0,16
2015,11,BOS,YYZ,1,49
2015,11,BOS,YYZ,0,28
2015,11,BRO,GUA,1,428
2015,11,BRO,SAP,1,560
2015,11,BUF,YVR,0,52
2015,11,BUR,GVA,1,2
2015,11,BUR,YVR,1,6
2015,11,BWI,CUN,1,799
2015,11,BWI,CUN,1,330
2015,11,BWI,PUJ,1,455
2015,11,BWI,PUJ,1,516
2015,11,BWI,SXM,1,408
2015,11,BWI,YYZ,0,6
2015,11,BWI,YYZ,0,4
2015,11,CLE,PUJ,1,1075
2015,11,CLE,YYZ,1,49
2015,11,CLL,NAS,1,76
2015,11,CLT,YYZ,1,96
2015,11,CMH,YOW,0,49
2015,11,CMH,YUL,0,101
2015,11,CPS,YWG,0,45
2015,11,CVG,CUN,0,1375
2015,11,CVG,PUJ,0,1253
2015,11,CVG,YYZ,0,305
2015,11,DAL,YOW,0,47
2015,11,DAL,YYZ,0,41
2015,11,DAL,YYZ,1,48
2015,11,DAL,YYZ,1,49
2015,11,DEN,YWG,0,86
2015,11,DEN,YYC,0,88
2015,11,DTW,YSJ,0,1
2015,11,DTW,YYZ,1,53
2015,11,ELP,GUA,1,145
2015,11,ELP,MEX,1,1045
2015,11,ELP,SAL,1,142
2015,11,EWR,EZE,0,2
2015,11,EWR,FAB,0,9
2015,11,EWR,GIG,0,3
2015,11,EWR,PSA,0,6
2015,11,EWR,RTM,0,3
2015,1,ABE,YUL,0,7
2015,1,ACY,YYZ,1,90
2015,1,AEX,GUA,1,109
2015,1,AGC,YYZ,1,18
2015,1,ALB,YUY,0,8
2015,1,ANC,CSX,1,443
2015,1,ANC,CTS,0,5
2015,1,ANC,TSA,0,2
2015,1,AZA,GUA,1,1046
2015,1,AZA,MEX,1,112
2015,1,AZA,SAL,1,320
2015,1,AZA,SAP,1,328
2015,1,BCT,YYZ,0,3
2015,1,BDL,LIR,1,165
2015,1,BED,YYZ,1,42
2015,1,BFI,SXM,1,10
2015,1,BFI,YVR,0,91
2015,1,IFP,YEG,1,384
2015,1,IFP,YWG,1,115
2015,1,IFP,YYC,1,89
2015,1,BLI,YVR,0,1
2015,1,BNA,YSN,0,5
2015,1,BNA,YUL,1,41
2015,1,BNA,YVR,0,48
2015,1,BNA,YYZ,0,4
2015,1,BOS,GVA,0,2
2015,1,BOS,YOW,1,87
2015,1,BOS,YYZ,1,43
2015,1,BOS,YYZ,0,2
2015,1,BRO,GUA,1,290
2015,1,BRO,GUA,1,917
2015,1,BRO,GUA,1,407
2015,1,BRO,SAL,1,15
2015,1,BRO,SAP,1,120
2015,1,BRO,SAP,1,165
2015,1,BRO,SAP,1,491
2015,1,BUF,YYC,1,44
2015,1,BUR,PVR,1,2
2015,1,BWI,CUN,0,1586
2015,1,BWI,CZM,1,863
2015,1,BWI,KEF,0,1
2015,1,BWI,PUJ,1,855
2015,1,BWI,SKB,1,334
2015,11,EWR,YRQ,0,4
2015,11,EWR,YUL,0,106
2015,11,EWR,YUL,1,76
2015,11,EWR,YVR,1,44
2015,11,EWR,YYC,1,40
2015,11,EWR,YYZ,1,85
2015,11,FLL,CCS,1,6153
2015,11,FLL,HAV,1,715
